"Time","processor.rule.act.timing.mean"
1638517500000,1532.2900731374125
1638517800000,1164.9385849631653
1638518100000,3436.1858885791007
1638518400000,2486.7368612156793
1638518700000,3453.5741296216806
1638519000000,2078.3357800809486
1638519300000,4485.313041968967
1638519600000,2232.6727197750088
1638519900000,1993.8492237114303
1638520200000,3422.7260077839674
1638520500000,1894.3464585645033
1638520800000,2247.448565035681
1638521100000,3238.678294273121
1638521400000,3131.380958793373
1638521700000,2791.0716917949626
1638522000000,2274.728815873394
1638522300000,2899.9259447784443
1638522600000,3306.3949615383535
1638522900000,4211.669592891364
1638523200000,1631.1910974448924
1638523500000,3340.4385418926786
1638523800000,2730.2681774964435
1638524100000,2608.3310161098134
1638524400000,2325.1110769399957
1638524700000,2772.219385216842
1638525000000,3580.3602363641644
1638525300000,2468.5903665288015
1638525600000,5268.1256352084565
1638525900000,2163.59832956009
1638526200000,3574.9982616756047
1638526500000,2036.2083042998852
1638526800000,1828.9960373870556
1638527100000,3276.59355255285
1638527400000,2065.3688500496896
1638527700000,4280.773064853058
1638528000000,4224.214188957207
1638528300000,3169.637614156994
1638528600000,2758.980659753332
1638528900000,2153.557171157364
1638529200000,3364.2376085849946
1638529500000,2331.5418583895353
1638529800000,4712.759986157739
1638530100000,3912.0517963434313
1638530400000,2833.58866228042
1638530700000,2317.9232664443434
1638531000000,2666.931763522084
1638531300000,2208.912705050857
1638531600000,3807.0726945373704
1638531900000,4491.124211245409
1638532200000,2656.6437416489134
1638532500000,3697.6957655218976
1638532800000,1971.050561526219
1638533100000,3725.0564968863705
1638533400000,3001.2572982945794
1638533700000,2193.6733892052766
1638534000000,3762.498708742004
1638534300000,2631.5222722095496
1638534600000,2930.4144741568407
1638534900000,2682.2802947078353
1638535200000,2378.1484822446873
1638535500000,2537.655456253199
1638535800000,3124.847749556967
1638536100000,2674.997209554331
1638536400000,3667.9935429166007
1638536700000,2606.0032713507503
1638537000000,3719.155886843252
1638537300000,2602.1354261781994
1638537600000,3058.619934713018
1638537900000,2233.609646153151
1638538200000,3339.033010818177
1638538500000,2408.4934106088012
1638538800000,2914.035765250992
1638539100000,2377.6919218484936
1638539400000,2908.916515030978
1638539700000,3392.3579801497385
1638540000000,1912.2200837563935
1638540300000,2840.2920229697784
1638540600000,2438.0619434942
1638540900000,2739.706827507899
1638541200000,2743.9208112004862
1638541500000,2321.391677589695
1638541800000,2859.217839041182
1638542100000,1989.115365359221
1638542400000,3790.9884922705605
1638542700000,2919.7899817759035
1638543000000,1497.4180736288426
1638543300000,3288.477923804472
1638543600000,2353.965799046413
1638543900000,2770.404584215139
1638544200000,2658.2983950458583
1638544500000,1845.8033770983536
1638544800000,2185.249646932276
1638545100000,2258.1854320209663
1638545400000,2406.841233634195
1638545700000,2648.4240446173744
1638546000000,2917.8812356559665
1638546300000,1916.4714954021113
1638546600000,3088.0925717414407
1638546900000,2387.089419371752
1638547200000,2433.631208569371
1638547500000,3014.941711947965
1638547800000,1626.1976491631408
1638548100000,3687.1989263423325
1638548400000,2922.4656240213417
1638548700000,1831.19138829441
1638549000000,1415.9052705211152
1638549300000,3510.847832829126
1638549600000,2222.1176786990445
1638549900000,2561.9971591843773
1638550200000,2995.257292788811
1638550500000,2813.673812081062
1638550800000,3064.831700262496
1638551100000,2512.4681999766635
1638551400000,2261.1797269729022
1638551700000,2702.6158239415545
1638552000000,2376.04506942987
1638552300000,2556.526986575389
1638552600000,1921.9759050564874
1638552900000,1745.9905623727882
1638553200000,3203.704858295553
1638553500000,977.4252758279312
1638553800000,2131.9581593648886
1638554100000,3159.928488871882
1638554400000,2473.2988579052867
1638554700000,3906.01754265757
1638555000000,2555.7143098070424
1638555300000,3623.9006660647765
1638555600000,2245.3310370046174
1638555900000,2587.1834182213306
1638556200000,3285.883249356735
1638556500000,3366.9599140134305
1638556800000,2303.6803918647333
1638557100000,2450.793965757812
1638557400000,2605.4198805133155
1638557700000,2732.553299654024
